SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,LOCATION ON LOT,IS BUILDING DANGEROUS OR HAZARDOUS,IS BUILDING OPEN OR BOARDED,ENTRY POINT,IS BUILDING VACANT OR OCCUPIED,IS BUILDING VACANT DUE TO FIRE,PEOPLE USING PROPERTY,ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE
Vacant/Abandoned Building,17-06828959,10/11/2017,Front,,Open,,Vacant,false,false,7734,S,ADA,ST,60620,1168783.11,1853478.04,17,6,71,41.753463,-87.657041
Vacant/Abandoned Building,17-06827096,10/11/2017,Front,,Open,FRONT DOOR,Vacant,false,false,6624,S,RHODES,AVE,60637,1181040.99,1861211.87,20,3,42,41.774412,-87.611883
Vacant/Abandoned Building,17-06818719,10/11/2017,,,,,,,,309,W,105TH,PL,60628,1176047.45,1834969.67,34,5,49,41.702514,-87.630974
Vacant/Abandoned Building,17-06824436,10/11/2017,Rear,,Open,SIDE DOOR,Vacant,true,true,5744,S,EMERALD,AVE,60621,1172283.02,1866776.32,20,7,68,41.789879,-87.643825
Vacant/Abandoned Building,17-06826684,10/11/2017,Front,,Open,FRONT DOOR,Vacant,false,true,347,W,95TH,ST,60628,1175546.13,1841922.44,21,5,49,41.721604,-87.632602
Vacant/Abandoned Building,17-06832236,10/11/2017,Front,,Open,FRONT/REAR DOORS WINDOWS,Vacant,false,true,60,W,72ND,ST,60621,1177011.52,1857260.85,6,7,69,41.763662,-87.626774
Vacant/Abandoned Building,17-05167309,08/04/2017,Front,,Open,1ST FLOOR WINDOW,Vacant,false,false,1231,N,HARDING,AVE,60651,1149826.09,1907916.09,37,25,23,41.903236,-87.7251
Vacant/Abandoned Building,17-05172696,08/04/2017,Rear,,Open,,Vacant,false,false,5942,S,PEORIA,ST,60621,1171323.36,1865434.15,16,7,68,41.786217,-87.647383
Vacant/Abandoned Building,17-05174699,08/04/2017,Front,,Open,REAR DOOR,Vacant,false,true,6440,S,SEELEY,AVE,60636,1163802.56,1861933.6,16,7,67,41.776772,-87.675056
Vacant/Abandoned Building,17-05176718,08/04/2017,Front,,Open,ALL AROUND INCLUDING BASEMENT,Vacant,false,true,6428,S,PAULINA,ST,60636,1166102.03,1862042.96,15,7,67,41.777023,-87.666623
Vacant/Abandoned Building,17-05177669,08/04/2017,Front,,Boarded,,Vacant,false,false,9015,S,HOUSTON,AVE,60617,1198088.69,1845774.28,10,4,46,41.731641,-87.549906
Vacant/Abandoned Building,17-05181348,08/04/2017,Front,,Open,SIDE AND FRONT DOORS,Vacant,false,false,10917,S,BUFFALO,AVE,60617,1199875.62,1833172.16,10,4,52,41.697015,-87.543783
Vacant/Abandoned Building,17-05182355,08/04/2017,Front,,Open,N/A,Vacant,true,false,9156,S,GREENWOOD,AVE,60619,1185146.67,1844489.5,8,4,47,41.728429,-87.597357
Vacant/Abandoned Building,17-05184235,08/04/2017,Front,,Open,,Vacant,false,true,3507,W,CARROLL,AVE,60624,1152941.29,1902175.63,28,11,27,41.887422,-87.71381
Vacant/Abandoned Building,17-05168254,08/04/2017,Front,,Open,,Vacant,false,false,3156,S,MAY,ST,60608,1169163.93,1883813.75,11,9,60,41.836699,-87.654768
Vacant/Abandoned Building,17-05168645,08/04/2017,Front,,Open,ALL AROUND THE BUILDING,Vacant,false,true,754,W,73RD,ST,60621,1172484.81,1856464.65,6,7,68,41.761578,-87.643388
Vacant/Abandoned Building,17-05170716,08/04/2017,Front,,Open,,Vacant,false,false,12755,S,EMERALD,AVE,60628,1173651.63,1820192.93,34,5,53,41.662017,-87.640182
Vacant/Abandoned Building,17-05166716,08/04/2017,Front,,Open,,Vacant,false,false,4430,W,ROOSEVELT,RD,60624,1147033.93,1894335.03,24,11,29,41.866022,-87.735704
Vacant/Abandoned Building,17-05176564,08/04/2017,Front,,Open,FRONT/REAR,Vacant,false,false,2146,S,MILLARD,AVE,60623,1152365.76,1889597.32,24,10,29,41.852918,-87.716255
Vacant/Abandoned Building,17-04871377,07/24/2017,,,,,,,,4738,W,MONROE,ST,60644,1144816.55,1899146.42,28,11,25,41.879267,-87.743723
Vacant/Abandoned Building,17-05194423,08/05/2017,Front,,Open,NONE,Vacant,false,false,9223,S,HALSTED,ST,60620,1172597.47,1843687.59,21,22,73,41.726513,-87.643351
Vacant/Abandoned Building,17-05188999,08/05/2017,Front,,Open,FRONT AND REAR,Vacant,false,true,830,E,89TH,ST,60619,1183343.42,1846143.58,8,6,44,41.73301,-87.603911
Vacant/Abandoned Building,17-05208912,08/05/2017,Front,,Open,DOORS AND WINDOWS,Vacant,false,true,6533,S,WHIPPLE,ST,60629,1157175.52,1861155.87,17,8,66,41.774774,-87.699372
Vacant/Abandoned Building,17-05196100,08/05/2017,Front,,Open,,Vacant,false,true,11403,S,RACINE,AVE,60643,1170370.44,1829128.75,34,22,75,41.68661,-87.651931
Vacant/Abandoned Building,17-06831465,10/11/2017,Front,,Open,,Vacant,true,false,4405,S,PRINCETON,AVE,60609,1175022.65,1875710.25,3,9,37,41.814333,-87.633513
Vacant/Abandoned Building,17-06831409,10/11/2017,Front,,Open,,Vacant,false,false,8041,S,MORGAN,ST,60620,1171042.74,1851503.12,21,6,71,41.747994,-87.648818
Vacant/Abandoned Building,17-05201268,08/05/2017,Front,,Open,,Vacant,false,true,8715,S,CONSTANCE,AVE,60617,1190034.22,1847556.32,8,4,48,41.736728,-87.579355
Vacant/Abandoned Building,17-05207419,08/05/2017,Rear,,Boarded,,Vacant,false,false,7237,S,WINCHESTER,AVE,60636,1164608.1,1856672.88,17,7,67,41.762319,-87.672251
Vacant/Abandoned Building,17-06830729,10/11/2017,Front,,Open,SOME OF THE BOARDS WERE REMOVED,Vacant,false,true,62,W,72ND,ST,60621,1177003.52,1857260.55,6,7,69,41.763661,-87.626803
Vacant/Abandoned Building,17-06823664,10/11/2017,Front,,Open,,Vacant,true,true,9654,S,EWING,AVE,60617,1202117,1841703.33,10,4,52,41.720368,-87.535287
Vacant/Abandoned Building,18-01272614,04/20/2018,Front,,Open,,Vacant,false,false,3860,W,ROOSEVELT,RD,60624,1150759.2,1894431.62,24,11,29,41.866215,-87.722026
Vacant/Abandoned Building,18-01277679,04/20/2018,,,,,,,,140,E,113TH,ST,60628,1179226.16,1830071.49,9,5,49,41.689,-87.619483
Vacant/Abandoned Building,17-05197545,08/05/2017,Rear,,Open,FRONT AND BACK DOOR WINDOWS,Vacant,false,true,6616,S,LANGLEY,AVE,60637,1182029.97,1861297.53,20,3,42,41.774624,-87.608255
Vacant/Abandoned Building,18-01273563,04/20/2018,,,,,,,,5435,S,PRINCETON,AVE,60609,1175213.49,1868790.01,3,9,37,41.795339,-87.63302
Vacant/Abandoned Building,18-01278451,04/20/2018,Front,,Boarded,,Vacant,false,false,9145,S,UNIVERSITY,AVE,60619,1185475.59,1844572.23,8,4,47,41.728648,-87.59615
Vacant/Abandoned Building,18-01275377,04/20/2018,Front,,Boarded,,Vacant,false,false,4829,S,BISHOP,ST,60609,1167481.42,1872721.95,20,9,61,41.806298,-87.66126
Vacant/Abandoned Building,18-01275186,04/20/2018,Front,,Open,REAR OF THE BUILDING,Vacant,false,true,6758,S,LAFAYETTE,AVE,60621,1176992.91,1860344.27,6,7,69,41.772123,-87.626749
Vacant/Abandoned Building,18-01274421,04/20/2018,Front,,Open,FRONT,Vacant,false,false,6612,S,LANGLEY,AVE,60637,1182029.27,1861324.23,20,3,42,41.774697,-87.608257
Vacant/Abandoned Building,17-05219763,08/06/2017,Front,,Open,ALL AROUND,Vacant,false,false,11820,S,SANGAMON,ST,60643,1172118.17,1826447.16,34,5,53,41.679213,-87.645611
Vacant/Abandoned Building,17-05231620,08/06/2017,Front,,Open,BACK DOOR,Vacant,false,true,6650,S,ROCKWELL,ST,60629,1160177.21,1860789.63,17,8,66,41.773708,-87.688378
Vacant/Abandoned Building,17-05219045,08/06/2017,Front,,Open,OPEN ALL OVER,Vacant,false,false,8527,S,DREXEL,AVE,60619,1183711.81,1848630.84,8,6,44,41.739826,-87.602484
Vacant/Abandoned Building,17-06852793,10/12/2017,Front,,Open,GARAGE AND DOORS,Vacant,false,true,1019,W,103RD,ST,60643,1171257.68,1836517.18,34,22,73,41.706866,-87.648468
Vacant/Abandoned Building,17-06853462,10/12/2017,Rear,,Open,UNKNOWN,Vacant,false,true,500,W,116TH,ST,60628,1175047.36,1827979.07,34,5,53,41.683353,-87.634843
Vacant/Abandoned Building,17-05220844,08/06/2017,Front,,Open,FRONT DOOR,Vacant,false,true,5656,S,HOYNE,AVE,60636,1163327.09,1867127.71,15,7,67,41.791035,-87.676654
Vacant/Abandoned Building,17-06855514,10/12/2017,Front,,Open,FRONT,Vacant,false,false,9235,S,DOBSON,AVE,,1184829.56,1843956.83,8,4,47,41.726974,-87.598535
Vacant/Abandoned Building,17-06852842,10/12/2017,Front,,Open,BACK,Vacant,true,false,1750,E,89TH,ST,60617,1189517.78,1846332.36,8,4,48,41.733382,-87.581286
Vacant/Abandoned Building,17-06868091,10/12/2017,Rear,,Open,ALL DOORS WINDOWS,Vacant,false,true,8626,S,LAFLIN,ST,60620,1167839.64,1847533.14,21,6,71,41.737169,-87.660669
Vacant/Abandoned Building,17-06851956,10/12/2017,Front,,Open,,Vacant,true,false,7430,S,LANGLEY,AVE,60619,1182179.98,1855900.03,6,3,69,41.759809,-87.607872
Vacant/Abandoned Building,17-05248412,08/07/2017,Front,,Open,FRONT DOOR,Vacant,false,true,5210,S,LAFLIN,ST,60609,1167219.2,1870186.07,20,9,61,41.799345,-87.662295
Vacant/Abandoned Building,17-06858777,10/12/2017,Front,,Open,,Vacant,false,false,10428,S,EWING,AVE,60617,1202166.39,1836422.1,10,4,52,41.705875,-87.535286
Vacant/Abandoned Building,17-05254227,08/07/2017,Front,,Open,FRONT AND REAR,Vacant,false,false,5046,W,FULTON,ST,60644,1142682.01,1901470.54,28,15,25,41.885685,-87.751503
Vacant/Abandoned Building,17-06864863,10/12/2017,Front,,Boarded,REAR DOOR,Vacant,false,true,738,S,KEDVALE,AVE,60624,1148835.01,1896407.54,24,11,26,41.871675,-87.729038
Vacant/Abandoned Building,17-06852723,10/12/2017,Front,,Open,FRONT AND BACK,Vacant,false,true,8011,S,PAXTON,AVE,60617,1192252.7,1852284.7,8,4,46,41.74965,-87.571074
Vacant/Abandoned Building,17-05248929,08/07/2017,Rear,,Open,,Vacant,false,false,442,W,129TH,PL,60628,1175628.11,1818816.26,9,5,53,41.658195,-87.63299
